Başlık,Marka,İşlemci Tipi,İşlemci Modeli,İşlemci Nesli,İşlemci Çekirdek Sayısı,Temel İşlemci Hızı (GHz),Maksimum İşlemci Hızı (GHz),Ram (Sistem Belleği),Ram (Sistem Belleği) Tipi,Arttırılabilir Azami Bellek,SSD Kapasitesi,Hard Disk Kapasitesi,Ekran Boyutu,Çözünürlük,Çözünürlük Standartı,Ekran Yenileme Hızı,Panel Tipi,Ekran Kartı,Ekran Kartı Tipi,Ekran Kartı Hafızası,Ekran Kartı Bellek Tipi,Ekran Kartı Gücü,Cihaz Ağırlığı,Kullanım Amacı,Şarjlı Kullanım Süresi,İşletim Sistemi,Renk,Çekilme Zamanı,Fiyat (TRY),Link
"V15 82c7008etx Amd 3020e 4gb 256gb Ssd 15.6"" Fhd Freedos",LENOVO,AMD E,3020e,Ryzen,2,1.2,,,DDR4,8 GB,,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,TN,Dahili Ekran Kartı,Dahili,Paylaşımlı,DDR4,,2 kg ve altı,Ev - Okul,4-6 Saat,Free Dos (İşletim Sistemi Yok),Gri,2025-12-02 06:18:58,20.889 TL,https://www.trendyol.com/lenovo/v15-82c7008etx-amd-3020e-4gb-256gb-ssd-15-6-fhd-freedos-p-103565780?boutiqueId=61&merchantId=409439
Cyborg 17 B13WFKG-092XTR i7-13620H 32GB 1TB SSD 8GB RTX5060 17.3 FHD 144Hz FreeDOS,MSI,Intel Core i7,13620H,13. Nesil,16,3.6,4.9,32 GB,DDR5,64 GB,1 TB,HDD Yok,17 inç,1920 x 1080,Full HD (FHD),144 Hz,IPS,Nvidia GeForce RTX 5060,Harici,8 GB,Belirtilmemiş,,2 - 4 kg,Oyun,4-6 Saat,Free Dos (İşletim Sistemi Yok),Siyah,2025-12-02 06:18:59,69.000 TL,https://www.trendyol.com/msi/cyborg-17-b13wfkg-092xtr-i7-13620h-32gb-1tb-ssd-8gb-rtx5060-17-3-fhd-144hz-freedos-p-1019916739?boutiqueId=61&merchantId=141868
Loq 15ARP9 R5-7235HS 12G 512G SSD RTX3050 6GB 15.6” Fhd IPS Fdos Notebook 83JC00DYTR,LENOVO,AMD Ryzen 5,7235HS,7. Nesil,4,3.2,4.2,12 GB,DDR5,64 GB,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),144 Hz,IPS,Nvidia GeForce RTX 3050,Harici,6 GB,GDDR6,95W,2 - 4 kg,Oyun,,Free Dos (İşletim Sistemi Yok),Ay Grisi; Siyah,2025-12-02 06:19:00,29.490 TL,https://www.trendyol.com/lenovo/loq-15arp9-r5-7235hs-12g-512g-ssd-rtx3050-6gb-15-6-fhd-ips-fdos-notebook-83jc00dytr-p-903257325?boutiqueId=61&merchantId=203702
"TUF GAMING F16 FX607VJ-RL057 INTEL CORE 5 210H 16GB 512GB 6GB RTX3050 16"" FHD+ 144HZ FREEDOS",ASUS,Intel Core 5,210H,Belirtilmemiş,8,2.2,4.8,16 GB,DDR4,,512 GB,HDD Yok,16 inç,1920 x 1200,FHD+,144 Hz,IPS,Nvidia GeForce RTX 3050,Harici,6 GB,GDDR6,115W,2 - 4 kg,Oyun,4-6 Saat,Free Dos (İşletim Sistemi Yok),GRİ,2025-12-02 06:19:01,31.199 TL,https://www.trendyol.com/asus/tuf-gaming-f16-fx607vj-rl057-intel-core-5-210h-16gb-512gb-6gb-rtx3050-16-fhd-144hz-freedos-p-979439118?boutiqueId=61&merchantId=105919
Katana 17 HX B14WFK-248XTR i7-14650HX 16GB 1TB SSD 8GB RTX5060 115W 17.3 QHD 240Hz FreeDOS,MSI,Intel Core i7,14650HX,14. Nesil,16,1.6,+5,16 GB,DDR5,64 GB,1 TB,HDD Yok,17 inç,2560 x 1440,QHD,240 Hz,IPS,Nvidia GeForce RTX 5060,Harici,8 GB,Belirtilmemiş,115W,2 - 4 kg,Oyun,4-6 Saat,Free Dos (İşletim Sistemi Yok),Siyah,2025-12-02 06:19:03,66.499 TL,https://www.trendyol.com/msi/katana-17-hx-b14wfk-248xtr-i7-14650hx-16gb-1tb-ssd-8gb-rtx5060-115w-17-3-qhd-240hz-freedos-p-1019654089?boutiqueId=61&merchantId=106198
"16"" MacBook Pro:  M4 Pro chip with 14‑core CPU and 20‑core GPU, 48GB, 512GB SSD - Uzay Siyahı",Apple,Apple M4 Pro,Belirtilmemiş,4. Nesil,14,,,48 GB,Birleşik Bellek,,512 GB,HDD Yok,"16,2 inç",3456 x 2234,Retina,120 Hz,,Dahili Ekran Kartı,Dahili,Paylaşımlı,Dahili,,2 - 4 kg,Ofis - İş,,Mac Os,Siyah,2025-12-02 06:19:04,"132.772,63 TL",https://www.trendyol.com/apple/16-macbook-pro-apple-m4-pro-chip-with-14-core-cpu-and-20-core-gpu-48gb-512gb-ssd-uzay-siyahi-p-873005649?boutiqueId=681310&merchantId=968
"Victus 15 15-FA2704NT B7TG9EA010 i5-13420H 16GB 512SSD RTX3050 15.6"" FHD W11P Dizüstü Bilgisayar",HP,Intel Core i5,13420H,13. Nesil,8,1.5,4.6,16 GB,DDR4,,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),144 Hz,IPS,Nvidia GeForce RTX 3050,Harici,6 GB,GDDR6,120W,2 - 4 kg,Oyun,4-6 Saat,Windows,Gri,2025-12-02 06:19:05,32.529 TL,https://www.trendyol.com/hp/victus-15-15-fa2704nt-b7tg9ea010-i5-13420h-16gb-512ssd-rtx3050-15-6-fhd-w11p-dizustu-bilgisayar-p-940769406?boutiqueId=61&merchantId=334898
Katana 17 HX B14WFK-216XTR i7-14650HX 32GB DDR5 RTX5060 GDDR7 8GB 1TB SSD 17.3 QHD 240Hz DOS Gam,MSI,Intel Core i7,14650HX,14. Nesil,12+,2,+5,32 GB,DDR5,16 GB,1 TB,Belirtilmemiş,"17,3 inç",2560 x 1440,QHD,240 Hz,IPS,Nvidia GeForce RTX 5060,Dahili,8 GB,Belirtilmemiş,,2 - 4 kg,Ofis - İş,4-6 Saat,Free Dos (İşletim Sistemi Yok),Siyah,2025-12-02 06:19:06,74.999 TL,https://www.trendyol.com/msi/katana-17-hx-b14wfk-216xtr-i7-14650hx-32gb-ddr5-rtx5060-gddr7-8gb-1tb-ssd-17-3-qhd-240hz-dos-gam-p-942584621?boutiqueId=61&merchantId=105013
"Rog Strix G16 G615LR-S5212 Ultra 7 255HX 32GB 1TB SSD RTX5070Ti-12GB Dos 16"" 2.5K 240Hz WQXGA",ASUS,Intel Core Ultra 7,255HX,Belirtilmemiş,20,2.4,+5,32 GB,DDR5,,1 TB,HDD Yok,16 inç,2560 x 1600,WQXGA,240 Hz,IPS,Nvidia GeForce RTX 5070 Ti,Harici,12 GB,Belirtilmemiş,140W,2 - 4 kg,Oyun,4-6 Saat,Free Dos (İşletim Sistemi Yok),Siyah,2025-12-02 06:19:07,105.999 TL,https://www.trendyol.com/asus/rog-strix-g16-g615lr-s5212-ultra-7-255hx-32gb-1tb-ssd-rtx5070ti-12gb-dos-16-2-5k-240hz-wqxga-p-902006504?boutiqueId=61&merchantId=106740
"Ideapad Slim 3 Intel Core I7-13620H 16 GB Ram 512 GB SSD 16"" Wuxga 83K2001WTR",LENOVO,Intel Core i7,13620H,13. Nesil,16,3.6,4.9,16 GB,DDR5,40 GB,512 GB,512 GB,16 inç,1920 x 1200,WUXGA,60 Hz,IPS,Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,,2 kg ve altı,Ofis - İş,4-6 Saat,Free Dos (İşletim Sistemi Yok),gri; Gri,2025-12-02 06:19:09,28.999 TL,https://www.trendyol.com/lenovo/ideapad-slim-3-intel-core-i7-13620h-16-gb-ram-512-gb-ssd-16-wuxga-83k2001wtr-p-924635071?boutiqueId=61&merchantId=105013
"Abra A7 V15.3.6 Intel Core i5 13500H 8 GB RAM 500 GB SSD 6 GB RTX 3050 FreeDOS 17,3"" FHD 144 Hz",MONSTER,Intel Core i5,13500H,13. Nesil,12+,2.6,4.7,8 GB,DDR4,64 GB,500 GB,HDD Yok,"17,3 inç",1920 x 1080,Full HD (FHD),144 Hz,IPS,Nvidia GeForce RTX 3050,Harici,6 GB,GDDR6,75W,2 - 4 kg,Oyun,4-6 Saat,Free Dos (İşletim Sistemi Yok),Siyah,2025-12-02 06:19:10,34.599 TL,https://www.trendyol.com/monster/abra-a7-v15-3-6-intel-core-i5-13500h-8-gb-ram-500-gb-ssd-6-gb-rtx-3050-freedos-17-3-fhd-144-hz-p-894064379?boutiqueId=61&merchantId=105286
LOQ 15AHP10 Ryzen 7-250 24GB DDR5 2TB SSD RTX5060 8GB 100W 15.6 inç FHD 144Hz IPS FDos Laptop,LENOVO,AMD Ryzen 7,Belirtilmemiş,2. Nesil,8,3.3,+5,24 GB,DDR5,16 GB,2 TB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),144 Hz,IPS,Nvidia GeForce RTX 5060,Harici,8 GB,GDDR7,100W,Belirtilmemiş,Oyun,4-6 Saat,Free Dos (İşletim Sistemi Yok),Gri,2025-12-02 06:19:11,55.990 TL,https://www.trendyol.com/lenovo/loq-15ahp10-ryzen-7-250-24gb-ddr5-2tb-ssd-rtx5060-8gb-100w-15-6-inc-fhd-144hz-ips-fdos-laptop-p-996320050?boutiqueId=61&merchantId=149208
"Legion Pro7 Intel Ultra 9-275HX 32GB 1TB SSD 16"" WQXGA OLED 500nits 240Hz RTX5080 16GB GDDR7 FreeDOS",LENOVO,Intel Core Ultra 9,275HX,Belirtilmemiş,24,2.5,+5,32 GB,DDR5,,1 TB,HDD Yok,16 inç,2560 x 1600,WQXGA,240 Hz,OLED,Nvidia GeForce RTX 5080,Harici,16 GB,GDDR7,175W,2 - 4 kg,Oyun,4-6 Saat,Free Dos (İşletim Sistemi Yok),Siyah,2025-12-02 06:19:12,147.979 TL,https://www.trendyol.com/lenovo/legion-pro7-intel-ultra-9-275hx-32gb-1tb-ssd-16-wqxga-oled-500nits-240hz-rtx5080-16gb-gddr7-freedos-p-933183192?boutiqueId=61&merchantId=797201
"Tulpar T6 V3.7.8 Intel Core i9 13900HX 64GB RAM 1TB SSD 12GB RTX 5070 Ti FreeDOS 16"" QHD+ 180 Hz",MONSTER,Intel Core i9,13900HX,13. Nesil,24,2.2,+5,64 GB,DDR5,,1 TB,HDD Yok,16 inç,2560 x 1600,QHD+,180 Hz,IPS,Nvidia GeForce RTX 5070 Ti,Dahili,16 GB,GDDR7,,2 - 4 kg,Oyun,4-6 Saat,Free Dos (İşletim Sistemi Yok),Siyah,2025-12-02 06:19:13,97.299 TL,https://www.trendyol.com/monster/tulpar-t6-v3-7-8-intel-core-i9-13900hx-64gb-ram-1tb-ssd-12gb-rtx-5070-ti-freedos-16-qhd-180-hz-p-969550841?boutiqueId=61&merchantId=105286
"15-FC0016NT 7Q9K8EA Ryzen 5-7520U 8GB RAM 512GB SSD 15.6"" FHD Windows 11 Home Siyah",HP,AMD Ryzen 5,7520U,7. Nesil,4,,,8 GB,LPDDR5,,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,,AMD Radeon Graphics,Dahili,Paylaşımlı,Dahili,,2 - 4 kg,Ev - Okul,4-6 Saat,Windows,Siyah,2025-12-02 06:19:15,21.999 TL,https://www.trendyol.com/hp/15-fc0016nt-7q9k8ea-ryzen-5-7520u-8gb-ram-512gb-ssd-15-6-fhd-windows-11-home-siyah-p-761324507?boutiqueId=61&merchantId=107870
Thin 15 B13UC-2868XTR i5-13420H 16GB DDR4 512GB SSD 4GB RTX3050 GDDR6 144Hz 15.6″ FHD FreeDOS Ga,MSI,Intel Core i5,13420H,13. Nesil,8,3.4,4.6,16 GB,DDR4,16 GB,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),144 Hz,IPS,Nvidia GeForce RTX 3050,Harici,4 GB ve altı,GDDR6,,Belirtilmemiş,Oyun,4-6 Saat,Free Dos (İşletim Sistemi Yok),Siyah; Gri,2025-12-02 06:19:16,33.000 TL,https://www.trendyol.com/msi/thin-15-b13uc-2868xtr-i5-13420h-16gb-ddr4-512gb-ssd-4gb-rtx3050-gddr6-144hz-15-6-fhd-freedos-ga-p-926654779?boutiqueId=61&merchantId=443144
"LOQ 15IRX9 Intel Core İ7 13650HX 24GB 1TB SSD RTX 3050 (95W) 15.6"" FHD IPS Fdos 83DV011CTRN1",LENOVO,Intel Core i7,13650HX,13. Nesil,14,2.6,4.9,24 GB,DDR5,32 GB,1 TB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),144 Hz,IPS,Nvidia GeForce RTX 3050,Harici,6 GB,GDDR6,95W,2 - 4 kg,Oyun,6 Saat ve Üstü,Free Dos (İşletim Sistemi Yok),Luna Gri; Gri,2025-12-02 06:19:17,42.999 TL,https://www.trendyol.com/lenovo/loq-15irx9-intel-core-i7-13650hx-24gb-1tb-ssd-rtx-3050-95w-15-6-fhd-ips-fdos-83dv011ctrn1-p-922295543?boutiqueId=61&merchantId=104683
"I-Life ZED Air CX7 Intel Core i7 7Y75 8GB 256GB SSD Windows 10 Home 15.6"" FHD",ILIFE,Intel Core i7,7Y75,7. Nesil,Belirtilmemiş,3.6,3.6,8 GB,DDR4,,256 GB,HDD Yok,"15,6 inç",1920 x 1080,HD Ready (HD),Belirtilmemiş,IPS,Dahili Ekran Kartı,Dahili,Paylaşımlı,DDR4,,2 - 4 kg,Ofis - İş,4-6 Saat,Windows,SİYAH; Siyah,2025-12-02 06:19:18,13.499 TL,https://www.trendyol.com/ilife/i-life-zed-air-cx7-intel-core-i7-7y75-8gb-256gb-ssd-windows-10-home-15-6-fhd-p-75614635?boutiqueId=61&merchantId=107168
"15"" MacBook Air:  M4 chip with 10-core CPU and 10-core GPU, 16GB, 512GB SSD - Gümüş",Apple,Apple M4,Apple M4,4. Nesil,10,2.5,3.3,16 GB,Birleşik Bellek,,512 GB,HDD Yok,"15,6 inç",2880 x 1800,Ultra HD 4K (UHD),60 Hz,IPS,Dahili Ekran Kartı,Dahili,Paylaşımlı,Dahili,,2 kg ve altı,Ofis - İş,,Mac Os,Gümüş,2025-12-02 06:19:19,68.000 TL,https://www.trendyol.com/apple/15-macbook-air-apple-m4-chip-with-10-core-cpu-and-10-core-gpu-16gb-512gb-ssd-gumus-p-904728390?boutiqueId=61&merchantId=222867
"Yoga 7 2-in-1/Intel Ultra 5 125U/16GB RAM/512GB SSD/14""/Win 11/Laptop Deniz Mavisi 83DJ0016TR",LENOVO,Intel Core Ultra 5,1250U,Belirtilmemiş,12+,3.2,4.3,16 GB,LPDDR5X,16 GB,512 GB,512 GB,14 inç,1800 x 1200,WQXGA,60 Hz,IPS,Intel UHD Graphics,Dahili,16 GB,DDR5,,2 kg ve altı,Ev - Okul,,Windows,Deniz Mavisi; Lacivert,2025-12-02 06:19:21,53.379 TL,https://www.trendyol.com/lenovo/yoga-7-2-in-1-intel-ultra-5-125u-16gb-ram-512gb-ssd-14-win-11-laptop-deniz-mavisi-83dj0016tr-p-855725812?boutiqueId=61&merchantId=322524
"15"" MacBook Air:  M4 chip with 10-core CPU and 10-core GPU, 16GB, 512GB SSD - Yıldız Işığı",Apple,Apple M4,Apple M4,4. Nesil,10,,,16 GB,Birleşik Bellek,,512 GB,HDD Yok,"15,6 inç",2880 x 1800,Ultra HD 4K (UHD),60 Hz,,Dahili Ekran Kartı,Dahili,Paylaşımlı,Dahili,,2 kg ve altı,Ofis - İş,,Mac Os,Beyaz,2025-12-02 06:19:22,75.699 TL,https://www.trendyol.com/apple/15-macbook-air-apple-m4-chip-with-10-core-cpu-and-10-core-gpu-16gb-512gb-ssd-yildiz-isigi-p-904728395?boutiqueId=681310&merchantId=968
V15 G4 IRU GTI512 Intel Core i7 1355U 16GB 512GB SSD Freedos 15.6” FHD 83A100HXTR,LENOVO,Intel Core i7,1355U,13. Nesil,10,3.7,+5,16 GB,DDR4,,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),Belirtilmemiş,TN,Intel XE Graphics,Dahili,Paylaşımlı,Dahili,,2 kg ve altı,Ofis - İş,4-6 Saat,Free Dos (İşletim Sistemi Yok),siyah,2025-12-02 06:19:23,25.999 TL,https://www.trendyol.com/lenovo/v15-g4-iru-gti512-intel-core-i7-1355u-16gb-512gb-ssd-freedos-15-6-fhd-83a100hxtr-p-974496048?boutiqueId=61&merchantId=106934
THIN 15 B13UC-3057XTR i7-13620H 16GB 512GB SSD RTX3050 4GB 15.6 inç FHD 144Hz FDos Gaming Laptop,MSI,Intel Core i7,13620H,13. Nesil,10,3.6,4.9,16 GB,DDR4,,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),144 Hz,Full HD,Nvidia GeForce RTX 3050,Harici,16 GB,GDDR6,,Belirtilmemiş,Oyun,4-6 Saat,Free Dos (İşletim Sistemi Yok),Siyah,2025-12-02 06:19:24,49.999 TL,https://www.trendyol.com/msi/thin-15-b13uc-3057xtr-i7-13620h-16gb-512gb-ssd-rtx3050-4gb-15-6-inc-fhd-144hz-fdos-gaming-laptop-p-940788132?boutiqueId=61&merchantId=797201
TUF Gaming F16 FX607VJ-RL033-Gaming Intel Core 5-210H 16GB 512GB SSD RTX3050 6GB 16 inç WUXGA 1,ASUS,Intel Core i5,210H,12. Nesil,8,2.2,4.8,16 GB,DDR5,64 GB,512 GB,HDD Yok,16 inç,1920 x 1080,WUXGA,144 Hz,IPS,Nvidia GeForce RTX 3050,Dahili,6 GB,GDDR6,65W,2 kg ve altı,Oyun,4-6 Saat,Free Dos (İşletim Sistemi Yok),Mecha Gri,2025-12-02 06:19:26,32.999 TL,https://www.trendyol.com/asus/tuf-gaming-f16-fx607vj-rl033-gaming-intel-core-5-210h-16gb-512gb-ssd-rtx3050-6gb-16-inc-wuxga-1-p-947386671?boutiqueId=61&merchantId=334898
Ideapad Slim 5 14IRH10 Intel i5 13420h Ddr5 16 Gb 1 Tb Ssd Freedos 14 Inç OLED 83HR00701TR,LENOVO,Intel Core i5,13420H,13. Nesil,10,2.1,4.6,16 GB,DDR5,32 GB,1 TB,Belirtilmemiş,14 inç,1920 x 1200,WUXGA,Belirtilmemiş,OLED,Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,,2 kg ve altı,Ofis - İş,4-6 Saat,Free Dos (İşletim Sistemi Yok),Ay Grisi,2025-12-02 06:19:27,28.999 TL,https://www.trendyol.com/lenovo/ideapad-slim-5-14irh10-intel-i5-13420h-ddr5-16-gb-1-tb-ssd-freedos-14-inc-oled-83hr00701tr-p-961155326?boutiqueId=61&merchantId=118352
250 G10 B2PH7ES i5-1334U 16GB 512GB SSD 15.6 FreeDos,HP,Intel Core i5,i5-1334U,13. Nesil,10,4,4.6,16 GB,DDR4,16 GB,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,TN,Dahili Ekran Kartı,Dahili,Paylaşımlı,Dahili,,2 kg ve altı,Ev - Okul,3 Saat ve Altı,Free Dos (İşletim Sistemi Yok),Siyah,2025-12-02 06:19:28,24.339 TL,https://www.trendyol.com/hp/250-g10-b2ph7es-i5-1334u-16gb-512gb-ssd-15-6-freedos-p-929728553?boutiqueId=61&merchantId=815914
"Huma H4 V5.1.6 Intel Core I5-1235u 16 Gb Ram 1 Tb Ssd Freedos 14,1"" Fhd",MONSTER,Intel Core i5,1235U,12. Nesil,10,1.3,4.4,16 GB,DDR4,64 GB,1 TB,HDD Yok,"14,1 inç",1920 x 1080,Full HD (FHD),60 Hz,IPS,Intel Iris Graphics,Dahili,Paylaşımlı,Dahili,,2 kg ve altı,Ofis - İş,4-6 Saat,Free Dos (İşletim Sistemi Yok),Gümüş,2025-12-02 06:19:29,29.699 TL,https://www.trendyol.com/monster/huma-h4-v5-1-6-intel-core-i5-1235u-16-gb-ram-1-tb-ssd-freedos-14-1-fhd-p-456346882?boutiqueId=61&merchantId=105286
"Excalibur G870 i7-13620H 32GB 1TB 6GB RTX3050 165Hz 15.6"" Freedos Gaming Laptop G870.1362-DFJ0X-C",CASPER,Intel Core i7,13620H,13. Nesil,10,2.4,4.9,32 GB,DDR4,,1 TB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),165 Hz,IPS,Nvidia GeForce RTX 3050,Harici,6 GB,GDDR6,95W,2 - 4 kg,Oyun,4-6 Saat,Free Dos (İşletim Sistemi Yok),,2025-12-02 06:19:30,47.999 TL,https://www.trendyol.com/casper/excalibur-g870-i7-13620h-32gb-1tb-6gb-rtx3050-165hz-15-6-freedos-gaming-laptop-g870-1362-dfj0x-c-p-963496755?boutiqueId=61&merchantId=141868
"Aspire 3 A315-24p-r808 Nx.kjeey.001 Ryzen5 7520u 8gb 512ssd 15.6"" Fullhd Freedos Taşınabilir Bi",ACER,AMD Ryzen 5,7520U,7. Nesil,4,3,,8 GB,DDR5,,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,,AMD Radeon Graphics,Dahili,Paylaşımlı,Dahili,,2 kg ve altı,Ofis - İş,4-6 Saat,Free Dos (İşletim Sistemi Yok),Mavi,2025-12-02 06:19:31,17.999 TL,https://www.trendyol.com/acer/aspire-3-a315-24p-r808-nx-kjeey-001-ryzen5-7520u-8gb-512ssd-15-6-fullhd-freedos-tasinabilir-bi-p-774795443?boutiqueId=61&merchantId=391109
"Scout 15 E1 Md62765 Intel Core I5 13420h 16gb 1tb Rtx5050 15.6"" 144hz Fhd Ips Win11h Oyuncu Laptop",Erazer,Intel Core i5,13420H,13. Nesil,8,2.1,4.6,16 GB,DDR5,64 GB,1 TB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),144 Hz,IPS,Nvidia GeForce RTX 5050,Harici,8 GB,GDDR7,115W,2 - 4 kg,Oyun,3 Saat ve Altı,Windows,Siyah,2025-12-02 06:19:33,47.500 TL,https://www.trendyol.com/erazer/scout-15-e1-md62765-intel-core-i5-13420h-16gb-1tb-rtx5050-15-6-144hz-fhd-ips-win11h-oyuncu-laptop-p-957648302?boutiqueId=61&merchantId=832705
"Vivobook 15 X1504VA-NJ412 Intel Core i7-1355U 8GB 512GB SSD 15.6"" FullHD FreeDOS Dizüstü Bilgisayar",ASUS,Intel Core i7,1335U,13. Nesil,10,2,,8 GB,DDR4,,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,,Intel XE Graphics,Dahili,Paylaşımlı,Dahili,,2 kg ve altı,Ofis - İş,3 Saat ve Altı,Free Dos (İşletim Sistemi Yok),Gümüş,2025-12-02 06:19:34,28.999 TL,https://www.trendyol.com/asus/vivobook-15-x1504va-nj412-intel-core-i7-1355u-8gb-512gb-ssd-15-6-fullhd-freedos-dizustu-bilgisayar-p-779490195?boutiqueId=61&merchantId=587415
"Ideapad Slim 3 AMD Ryzen 7 5825U 16GB 512GB SSD Freedos 15.6"" FHD Taşınabilir Bilgisayar 82XM",LENOVO,AMD Ryzen 7,5825U,Belirtilmemiş,Belirtilmemiş,3,4.5,16 GB,DDR4,,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),Belirtilmemiş,IPS,Dahili Ekran Kartı,Dahili,Belirtilmemiş,DDR5,,2 kg ve altı,Ev - Okul,4-6 Saat,Free Dos (İşletim Sistemi Yok),,2025-12-02 06:19:35,23.798 TL,https://www.trendyol.com/lenovo/ideapad-slim-3-amd-ryzen-7-5825u-16gb-512gb-ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-82xm-p-961774297?boutiqueId=61&merchantId=797201
"Macbook Air M3 Çip 16gb 512gb Ssd Macos 13"" Taşınabilir Bilgisayar Yıldız Işığı Mxcu3tu/a",Apple,Apple M3,Belirtilmemiş,3. Nesil,8,2,,16 GB,Birleşik Bellek,16 GB,512 GB,HDD Yok,"13,6 inç",2560 x 1664,QHD,Belirtilmemiş,,Dahili Ekran Kartı,Dahili,Paylaşımlı,Dahili,,2 kg ve altı,Ofis - İş,,Mac Os,Yıldız Işığı; Bej,2025-12-02 06:19:36,53.477 TL,https://www.trendyol.com/apple/macbook-air-m3-cip-16gb-512gb-ssd-macos-13-tasinabilir-bilgisayar-yildiz-isigi-mxcu3tu-a-p-816682292?boutiqueId=61&merchantId=141868
Victus 16-s0003nt 7.Nesil Ryzen 7 7840HS-RTX4070 8Gb-16Gb-512Gb-16.1inc-W11,HP,AMD Ryzen 7,7840HS,7. Nesil,8,3.8,5.0,16 GB,DDR5,Belirtilmemiş,512 GB,HDD Yok,"16,1 inç",1920 x 1080,Full HD (FHD),144 Hz,Full HD,Nvidia GeForce RTX 4070,Harici,8 GB,GDDR6,,2 - 4 kg,Oyun,4-6 Saat,Windows,Mika Gümüş; Gümüş,2025-12-02 06:19:37,59.999 TL,https://www.trendyol.com/hp/victus-16-s0003nt-7-nesil-ryzen-7-7840hs-rtx4070-8gb-16gb-512gb-16-1inc-w11-p-779237022?boutiqueId=61&merchantId=107870
i5-12450HX 8GB DDR5 512GB SSD RTX4050 6GDR6 Win11 Home 15.6 144Hz FHD 83GS0081TR,LENOVO,Intel Core i5,12450H,Belirtilmemiş,8,3.1,4.4,8 GB,DDR5,,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),144 Hz,IPS,Nvidia GeForce RTX 4050,Harici,6 GB,GDDR6,,2 - 4 kg,Oyun,4-6 Saat,Windows,Luna Gri,2025-12-02 06:19:38,34.999 TL,https://www.trendyol.com/lenovo/i5-12450hx-8gb-ddr5-512gb-ssd-rtx4050-6gdr6-win11-home-15-6-144hz-fhd-83gs0081tr-p-861935341?boutiqueId=61&merchantId=667835
"IP3 83K100Q0TR i5-13420H 8GB DDR5 256GB SSD WUXGA 15.3"" IPS FreeDos",LENOVO,Intel Core i5,13420H,13. Nesil,8,,,8 GB,DDR5,,256 GB,HDD Yok,"15,3 inç",1920 x 1200,WUXGA,60 Hz,,Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,,2 kg ve altı,Ofis - İş,,Free Dos (İşletim Sistemi Yok),,2025-12-02 06:19:39,18.999 TL,https://www.trendyol.com/lenovo/ip3-83k100q0tr-i5-13420h-8gb-ddr5-256gb-ssd-wuxga-15-3-ips-freedos-p-988382239?boutiqueId=61&merchantId=106198
Cyborg 15 13.Nesil Core i5 13420H-RTX4060 8GB-16GB-512Gb Ssd-15.6inc-W11,MSI,Intel Core i5,13420H,12. Nesil,8,,,16 GB,DDR5,,512 GB,500 GB,"15,6 inç",1920 x 1080,Full HD (FHD),144 Hz,Full HD,Nvidia GeForce RTX 4060,Harici,8 GB,GDDR6,,2 kg ve altı,Oyun,,Windows,SIYAH; Siyah,2025-12-02 06:19:41,51.999 TL,https://www.trendyol.com/msi/cyborg-15-13-nesil-core-i5-13420h-rtx4060-8gb-16gb-512gb-ssd-15-6inc-w11-p-822144676?boutiqueId=61&merchantId=391109
"Ideapad Slim 3 83ER00FWTR i5-12450H 16GB 512SSD 15.6"" FHD FreeDOS Dizüstü Bilgisayar",LENOVO,Intel Core i5,12450H,12. Nesil,8,1.5,4.4,16 GB,DDR5,,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,TN,Intel UHD Graphics,Dahili,Paylaşımlı,SD,,2 kg ve altı,Ofis - İş,4-6 Saat,Linux,Siyah,2025-12-02 06:19:42,22.299 TL,https://www.trendyol.com/lenovo/ideapad-slim-3-83er00fwtr-i5-12450h-16gb-512ssd-15-6-fhd-freedos-dizustu-bilgisayar-p-877379709?boutiqueId=61&merchantId=797201
